iter	Passed	Remaining
0	6	6070
1	11	5785
2	17	5678
3	22	5642
4	28	5595
5	33	5571
6	39	5655
7	45	5627
8	50	5598
9	56	5592
10	61	5572
11	67	5569
12	73	5549
13	78	5537
14	84	5527
15	89	5510
16	95	5496
17	100	5489
18	106	5476
19	111	5465
20	117	5459
21	122	5449
22	127	5436
23	133	5432
24	139	5424
25	144	5419
26	150	5410
27	155	5401
28	161	5394
29	166	5386
30	172	5378
31	177	5370
32	182	5360
33	188	5352
34	193	5347
35	199	5341
36	204	5334
37	210	5331
38	216	5324
39	221	5316
40	227	5312
41	232	5305
42	238	5297
43	243	5292
44	248	5284
45	254	5278
46	259	5271
47	265	5264
48	271	5261
49	276	5254
50	282	5247
51	287	5245
52	293	5240
53	298	5233
54	304	5229
55	309	5223
56	315	5219
57	320	5208
58	325	5194
59	331	5193
60	337	5190
61	342	5184
62	348	5181
63	353	5176
64	359	5170
65	365	5169
66	370	5163
67	376	5158
68	382	5155
69	387	5145
70	393	5149
71	399	5149
72	405	5143
73	410	5136
74	415	5129
75	421	5122
76	427	5118
77	432	5112
78	438	5106
79	443	5103
80	449	5098
81	455	5097
82	460	5092
83	466	5086
84	471	5080
85	477	5074
86	482	5067
87	488	5062
88	494	5056
89	499	5050
90	505	5045
91	510	5038
92	516	5033
93	521	5028
94	527	5022
95	532	5018
96	538	5011
97	543	5005
98	549	5001
99	554	4994
100	560	4988
101	566	4984
102	571	4979
103	577	4972
104	582	4967
105	588	4961
106	593	4955
107	599	4950
108	604	4944
109	610	4939
110	615	4933
111	621	4927
112	627	4922
113	632	4916
114	638	4910
115	643	4905
116	649	4898
117	655	4896
118	661	4894
119	666	4887
120	672	4881
121	677	4876
122	683	4870
123	688	4865
124	694	4858
125	699	4852
126	705	4847
127	710	4841
128	716	4836
129	721	4830
130	727	4824
131	732	4818
132	738	4813
133	743	4806
134	749	4800
135	754	4795
136	760	4789
137	765	4783
138	771	4777
139	776	4772
140	782	4766
141	787	4760
142	793	4754
143	798	4749
144	804	4743
145	810	4738
146	815	4733
147	821	4727
148	826	4721
149	832	4716
150	837	4710
151	843	4704
152	848	4698
153	854	4693
154	860	4688
155	865	4684
156	871	4678
157	876	4673
158	882	4667
159	887	4661
160	893	4656
161	899	4653
162	907	4657
163	913	4654
164	918	4648
165	924	4642
166	929	4636
167	934	4629
168	940	4624
169	945	4617
170	951	4613
171	957	4608
172	962	4602
173	968	4597
174	973	4591
175	979	4585
176	984	4579
177	990	4573
178	995	4567
179	1001	4562
180	1006	4556
181	1012	4550
182	1018	4544
183	1023	4538
184	1028	4532
185	1034	4527
186	1039	4521
187	1045	4515
188	1051	4509
189	1056	4504
190	1062	4500
191	1068	4495
192	1073	4489
193	1079	4483
194	1084	4477
195	1090	4471
196	1095	4466
197	1101	4460
198	1106	4454
199	1112	4448
200	1117	4442
201	1123	4437
202	1128	4431
203	1134	4425
204	1139	4420
205	1145	4414
206	1150	4408
207	1156	4402
208	1161	4396
209	1167	4391
210	1173	4386
211	1178	4380
212	1184	4374
213	1189	4368
214	1195	4363
215	1200	4357
216	1206	4352
217	1211	4346
218	1217	4340
219	1222	4334
220	1228	4328
221	1233	4322
222	1238	4316
223	1244	4311
224	1250	4305
225	1255	4299
226	1260	4293
227	1266	4288
228	1272	4282
229	1277	4277
230	1283	4271
231	1288	4265
232	1294	4259
233	1299	4254
234	1305	4249
235	1310	4243
236	1316	4237
237	1321	4231
238	1327	4226
239	1333	4221
240	1338	4215
241	1344	4209
242	1349	4203
243	1354	4197
244	1360	4192
245	1366	4186
246	1371	4181
247	1376	4175
248	1382	4169
249	1388	4165
250	1393	4159
251	1399	4153
252	1404	4148
253	1410	4142
254	1416	4137
255	1421	4131
256	1427	4126
257	1432	4121
258	1438	4115
259	1443	4109
260	1449	4105
261	1455	4099
262	1460	4093
263	1466	4088
264	1472	4083
265	1477	4077
266	1483	4072
267	1488	4066
268	1494	4060
269	1499	4054
270	1505	4049
271	1510	4043
272	1516	4037
273	1521	4032
274	1527	4026
275	1532	4020
276	1538	4014
277	1543	4008
278	1549	4002
279	1554	3997
280	1559	3991
281	1565	3985
282	1570	3979
283	1576	3973
284	1581	3968
285	1587	3962
286	1592	3956
287	1598	3950
288	1603	3945
289	1609	3939
290	1614	3933
291	1620	3928
292	1625	3922
293	1631	3916
294	1636	3910
295	1641	3905
296	1647	3899
297	1653	3894
298	1658	3888
299	1664	3882
300	1669	3877
301	1675	3872
302	1681	3868
303	1687	3864
304	1693	3858
305	1698	3853
306	1704	3847
307	1709	3841
308	1715	3835
309	1720	3829
310	1725	3823
311	1731	3817
312	1736	3811
313	1742	3805
314	1747	3800
315	1752	3794
316	1758	3788
317	1763	3782
318	1769	3776
319	1774	3770
320	1779	3764
321	1785	3758
322	1790	3752
323	1797	3749
324	1803	3746
325	1809	3741
326	1815	3735
327	1820	3730
328	1826	3724
329	1831	3719
330	1837	3713
331	1842	3707
332	1848	3701
333	1853	3696
334	1859	3690
335	1864	3684
336	1870	3679
337	1875	3673
338	1881	3667
339	1886	3662
340	1892	3656
341	1897	3650
342	1903	3645
343	1908	3639
344	1913	3633
345	1919	3628
346	1924	3622
347	1930	3616
348	1935	3611
349	1941	3605
350	1947	3600
